emergency_month1,emergency_month2,emergency_month3,emergency_month4,emergency_month5,emergency_month6,emergency_month7,emergency_month8,emergency_month9,emergency_month10,emergency_month11,emergency_month12,emergency_night,emergency_evening,emergency_afternoon,emergency_morning,emergency_dawn
4.5670476e-16,2.399912682132024e-20,0.0036017000675201416,0.03142184019088745,6.927358481334522e-05,0.0,0.0,3.3361797329444446e-30,5.5268827614948495e-25,0.0,0.0,1.1457378424389054e-27,0.0004903674125671387,0.07495591044425964,0.19347801804542542,0.06290653347969055,1.159030944108963e-05
4.2388513e-07,0.00033545494079589844,0.00015369057655334473,0.005472749471664429,0.28560876846313477,0.9962615966796875,0.994220495223999,7.360233212239109e-06,0.8321465849876404,0.9998992085456848,0.991483211517334,0.007924169301986694,0.9757022261619568,0.0022335946559906006,0.6037775278091431,0.9999948740005493,0.00019541382789611816
5.9094758e-24,8.33449757505541e-15,3.0075864287937293e-06,0.027112603187561035,0.9999896287918091,0.9828912615776062,1.0,8.267819066531956e-05,2.10620569873754e-08,6.0463113137979044e-33,1.3032538362819054e-26,1.0816128669470469e-22,0.9520944356918335,0.9996695518493652,0.923234760761261,0.9999593496322632,0.9143394231796265
0.9999995,0.9275206327438354,1.0,0.999167799949646,0.954105019569397,1.0,1.0,1.0,1.0,0.9999949336051941,0.13743984699249268,0.9896576404571533,0.9996092319488525,0.9998027086257935,0.9520021677017212,1.0,0.9999913573265076
0.99312425,3.769235817506614e-18,1.1512249329825863e-05,0.1406942903995514,0.047396689653396606,0.9999788999557495,1.0,1.0,0.9957367181777954,0.9707992076873779,0.12515705823898315,0.9892776012420654,0.9999760389328003,0.8900651931762695,0.9520021677017212,0.9999997615814209,0.05505025386810303
0.033906043,7.719925366285116e-14,5.876997306586418e-07,0.2087252140045166,0.24881985783576965,0.9974807500839233,0.0021904408931732178,3.4242191759403795e-05,0.004427701234817505,0.05717676877975464,3.2826214919623453e-06,2.788001802400686e-05,0.00014090538024902344,0.8690646886825562,0.6841974258422852,0.9063700437545776,0.7208118438720703
0.9259523,0.0046159327030181885,0.9957786202430725,0.948006272315979,0.7483363747596741,8.13574558833352e-08,1.0,1.0,0.9963914155960083,0.9989899396896362,0.9492883682250977,0.9751680493354797,0.3810473382472992,0.9999619722366333,0.9520021677017212,0.9971970915794373,0.31788042187690735
1.8473051e-07,4.1359265878782026e-07,0.0006973147392272949,0.00024133920669555664,3.6285217674958403e-07,0.0,2.130403769541291e-26,3.2259689691021635e-24,6.654090256227874e-14,0.0,8.316399620722949e-29,1.2391593827432157e-12,0.0005139708518981934,1.3850340874199674e-09,0.26247239112854004,0.03037586808204651,1.2623152656487946e-07
6.7451014e-09,3.9524045860162005e-05,0.9847182035446167,0.6580055952072144,0.24619221687316895,0.9978837966918945,0.9999240040779114,0.9646744728088379,0.8063703775405884,0.9841588139533997,2.8293768991716206e-05,4.9288912123302e-05,0.5581885576248169,0.9867935180664062,0.9173286557197571,0.9609804749488831,3.826502506854013e-06
3.1170495e-07,3.707028372446075e-05,0.0006316900253295898,1.0870149708352983e-05,0.016103088855743408,0.0,2.1568795188571326e-28,3.435908687259861e-34,1.3197393703681414e-17,0.0,3.0164454575998786e-32,2.4676283585933767e-11,3.7297002108971355e-06,0.23727953433990479,0.0030399858951568604,0.0014446675777435303,0.0003902614116668701
